,GAUGE,PCSobs1,PCSobs2,PCSobs3,PCSobs4
1,A1Z3,6.531701654,-2.300230886,3.487723084,-0.804656767
2,A2Z1,6.573617658,-0.070683921,1.981855949,0.420518241
3,AN311,0.030947875,-0.319599593,-2.002567464,1.392916728
4,AN313,-2.748409402,-0.977171051,-2.950592013,0.747311328
5,AN322,-0.227261218,-0.439957347,-1.49302634,1.553207425
6,AN331,6.103495915,1.34897995,-3.575955545,-0.058004227
7,AN4311,2.169524594,-0.519375312,0.670415199,1.820030601
8,AN433,-12.39026307,-9.160834684,-3.068802512,0.152577025
9,AN434,1.039365821,-2.234575498,1.868186779,-1.129194149
10,AN439,-9.130252623,-5.271550086,-0.125807968,0.497230926
11,AN520,4.49091659,-1.201360282,1.095870127,0.760365628
12,AN530,4.804843171,-1.120525273,-0.602378511,0.083133696
13,AN531,3.234898524,-1.893483887,1.459952836,1.884754589
14,AN532,5.553800495,-1.113491538,1.410599702,0.572128123
15,AN533,3.620350861,-0.331813513,1.345687122,1.658123998
16,AN543,6.769502524,0.108526797,-1.515766382,-0.448696046
17,AR01,5.817418075,-2.28253865,3.593092902,1.190296536
18,AR02,2.180898593,-3.398796307,2.561839823,1.945514796
19,B2S1,6.493302545,-1.101014968,4.038456922,-1.699835763
20,C3T1,4.891386929,-1.066438665,4.077022631,-0.305756092
21,C7Z1,3.704773483,-0.095201913,2.760528646,1.621214458
22,IB01,5.542831622,-1.763104196,2.421936488,1.171539227
23,IB03,-6.716006434,-3.14367813,2.529298633,2.462692084
24,IB11,4.606541017,-2.099918339,3.203022185,1.552502906
25,IB21,5.65906289,1.070636252,2.685908999,1.427601891
26,KR01,2.350200103,-3.210404033,2.092414733,0.197604431
27,LE01,5.034440477,-1.794008969,2.904433205,-0.206107228
28,LE02,3.047107835,-2.630652901,2.24012393,0.930527823
29,LE11,6.658321176,-1.663592638,2.439658608,0.500824372
30,NB01,4.460186626,-2.754700553,2.372789691,0.526308529
31,NB11,3.080973949,-2.861222373,-0.070883317,0.431674392
32,NB12,6.453870153,-1.58112751,3.327210239,-0.871054037
33,OK01,5.464714693,-1.691523866,3.503241004,0.987585279
34,OSM1,4.61991831,-1.130651192,1.560608505,-0.51604555
35,SA07,6.166450296,1.409077224,1.757061835,0.660566372
36,X1141,-4.659754801,-5.748842454,0.882911563,-6.398805523
37,X1264,2.897178122,0.501938489,-1.544265255,1.685149092
38,X1265,-2.607101856,2.268476211,-0.455093237,4.013957577
39,X1296,2.765339178,0.752631382,0.593082046,0.238708613
40,X1303,-18.52650326,-2.755909082,0.935897997,-0.701595332
41,X1353,-28.91157777,2.912492296,-1.045680464,7.221454449
42,X1363,-4.461061848,0.827077935,-0.758540431,2.455682924
43,X1398,0.433803711,0.378171359,1.476675588,-0.077035833
44,X1404,-20.18472423,6.016823065,-0.755650722,5.020381121
45,X9008,2.15246585,8.600228899,-1.284850173,1.857686091
46,X9030,-4.291577549,4.392080752,-2.187051231,-1.383498235
47,X9031,4.713057746,2.901220111,-3.898877744,-4.298612949
48,X9033,-3.771719916,-3.172709082,-1.644965527,-2.632250832
49,X9040,-30.88169149,3.458483325,4.243369139,-3.423262048
50,X9046,3.293388773,-0.496575228,-1.25672911,-1.089851347
51,X9047,-5.898006363,1.057562962,0.19026037,-2.267135141
52,X9057,5.914346975,6.078514492,-1.049076412,1.204783349
53,X9058,4.826802748,5.955293033,-1.384933541,2.142613773
54,X9061,-13.78454509,-0.761549964,3.415706192,0.134215586
55,X9062,-0.786470324,-1.990415793,1.739074165,0.213829617
56,X9063,-14.21466376,-5.805475403,-3.09167082,1.013300226
57,X9064,-11.93946369,-8.005032296,-4.908560135,-0.314961334
58,X9067,-5.461090611,-5.896630736,-4.02528651,-0.932616552
59,X9078,6.154146644,0.55192731,-1.593979233,0.375179111
60,X9079,-4.064330749,-6.60098397,-3.576865702,-1.539311588
61,X9080,3.136489401,-0.188569438,1.37128024,-0.551305984
62,X9085,1.289353624,-1.811692715,-1.663830723,1.173730278
63,X9088,2.034641554,4.387982538,-2.131842062,-0.203514062
64,X9091,-3.921210668,-1.161212396,-0.509944473,-0.592495225
65,X9093,-6.238479765,2.989653395,-3.359354167,-0.796104012
66,X9100,6.402147194,3.243981545,-0.483377528,0.153619163
67,X9127,4.302442256,3.69699241,-1.282657456,-0.774533732
68,X9135,2.417292477,5.397670706,-1.214081561,-1.530818861
69,X9148,5.396907604,0.599054022,-1.072665588,-1.406731179
70,X9150,6.474446835,2.628572964,-2.336879784,0.683500199
71,X9151,1.002869665,-1.726196167,-2.778120054,0.546149841
72,X9153,0.924159721,-0.421364798,-4.121780934,-3.352075526
73,X9155,6.1887534,0.3483533,-2.642527593,-1.026263291
74,X9157,2.611762977,1.648691915,-1.849931103,0.249674661
75,X9158,0.20098391,1.329308185,-3.168766681,0.524583787
76,X9167,5.886996593,6.37593571,-2.493897297,4.178802173
77,X9171,-3.934583348,8.002421534,3.273604239,-3.293373191
78,X9196,-14.60096173,6.967670286,5.978175593,-8.103983104
79,X9197,1.507438106,0.360514896,-3.77816853,-3.106584023
80,X9198,2.820266148,5.487710613,-0.204987175,-1.086344077
81,X9203,1.323100385,-1.005293548,-2.739368351,0.566570734
82,X9221,5.518663123,0.300959714,-0.552926317,0.053291071
83,X9234,-0.903445359,-0.263151338,3.032486122,1.474103114
84,X9253,2.833036209,-0.367954024,-4.08259909,-0.897901087
85,X9255,4.959069795,0.1058872,-2.270207491,-3.083375525
86,X9256,-14.82321312,7.269724755,2.220601148,-1.446732268
87,X9257,5.332069748,-0.964795771,0.500966215,-1.720850401
88,X9259,3.897035781,-1.670577952,1.59895969,1.827657357
89,X9261,4.21913309,2.240188917,-4.69431332,-2.413700241
90,X9268,-0.25080089,-0.545568484,0.255635564,-0.721618359
91,X9269,3.225128297,-1.174091904,0.864808223,-0.385408523
92,c8z1,-3.880911162,-0.213595834,3.337649709,1.434623933
